scenario,time,resident,x,z,speed,reason
close_start,0.00,1,0.460,0.000,0.000,우회: Resident_01
close_start,0.25,0,-0.460,0.000,0.000,느긋함: 잠시 양보
close_start,0.25,1,0.460,0.000,0.000,우회: Resident_01
close_start,0.50,0,-0.460,0.000,0.000,느긋함: 잠시 양보
close_start,0.50,1,0.460,0.000,0.000,우회: Resident_01
close_start,0.75,0,-0.460,0.000,0.000,느긋함: 잠시 양보
close_start,0.75,1,0.477,0.060,0.497,우회: Resident_01
close_start,1.00,0,-0.460,0.000,0.000,느긋함: 잠시 양보
close_start,1.00,1,0.548,0.266,1.122,우회: Resident_01
close_start,1.25,0,-0.460,0.000,0.000,느긋함: 잠시 양보
close_start,1.25,1,0.667,0.597,1.476,우회: Resident_01
close_start,1.50,0,-0.460,0.000,0.000,느긋함: 잠시 양보
close_start,1.50,1,0.730,0.953,1.453,우회: Resident_01
close_start,1.75,0,-0.398,0.000,0.500,경로 이동
close_start,1.75,1,0.643,1.284,1.363,우회: Resident_01
close_start,2.00,0,-0.179,0.000,1.125,경로 이동
close_start,2.00,1,0.419,1.546,1.350,혼잡 재탐색
close_start,2.25,0,0.159,0.000,1.380,경로 이동
close_start,2.25,1,0.137,1.672,1.215,경로 이동
close_start,2.50,0,0.504,0.000,1.380,경로 이동
close_start,2.50,1,-0.206,1.666,1.459,경로 이동
close_start,2.75,0,0.849,0.000,1.380,경로 이동
close_start,2.75,1,-0.549,1.540,1.476,경로 이동
close_start,3.00,0,1.195,0.000,1.380,경로 이동
close_start,3.00,1,-0.886,1.389,1.476,경로 이동
close_start,3.25,0,1.540,0.000,1.380,경로 이동
close_start,3.25,1,-1.223,1.239,1.476,경로 이동
close_start,3.50,0,1.885,0.000,1.380,경로 이동
close_start,3.50,1,-1.560,1.089,1.476,경로 이동
close_start,3.75,0,2.230,0.000,1.380,경로 이동
close_start,3.75,1,-1.897,0.938,1.476,경로 이동
close_start,4.00,0,2.575,0.000,1.380,경로 이동
close_start,4.00,1,-2.234,0.788,1.476,경로 이동
close_start,4.25,0,2.920,0.000,1.380,경로 이동
close_start,4.25,1,-2.571,0.638,1.476,경로 이동
close_start,4.50,0,3.265,0.000,1.380,경로 이동
close_start,4.50,1,-2.908,0.487,1.476,경로 이동
close_start,4.75,0,3.610,0.000,1.380,경로 이동
close_start,4.75,1,-3.245,0.337,1.476,경로 이동
close_start,5.00,0,3.878,0.000,0.824,경로 이동
close_start,5.00,1,-3.582,0.187,1.476,경로 이동
close_start,5.25,0,3.990,0.000,0.199,경로 이동
close_start,5.25,1,-3.860,0.041,1.023,경로 이동
close_start,5.50,0,3.994,0.000,0.000,도착
close_start,5.50,1,-4.006,-0.033,0.407,경로 이동
cautious,0.00,0,-3.994,0.000,0.125,경로 이동
cautious,0.00,1,3.994,0.000,0.125,경로 이동
cautious,0.25,0,-3.869,0.000,0.750,경로 이동
cautious,0.25,1,3.869,0.000,0.750,경로 이동
cautious,0.50,0,-3.588,0.000,1.375,경로 이동
cautious,0.50,1,3.588,0.000,1.375,경로 이동
cautious,0.75,0,-3.243,0.000,1.380,경로 이동
cautious,0.75,1,3.219,0.000,1.476,경로 이동
cautious,1.00,0,-2.898,0.000,1.380,경로 이동
cautious,1.00,1,2.849,0.000,1.476,경로 이동
cautious,1.25,0,-2.553,0.000,1.380,경로 이동
cautious,1.25,1,2.480,0.000,1.476,경로 이동
cautious,1.50,0,-2.208,0.000,1.380,경로 이동
cautious,1.50,1,2.111,0.000,1.476,경로 이동
cautious,1.75,0,-1.863,0.000,1.380,경로 이동
cautious,1.75,1,1.742,0.000,1.476,경로 이동
cautious,2.00,0,-1.580,0.000,0.880,느긋함: 양보 Resident_02
cautious,2.00,1,1.436,0.000,0.976,우회: Resident_01
cautious,2.25,0,-1.454,0.000,0.255,느긋함: 양보 Resident_02
cautious,2.25,1,1.219,0.056,1.036,우회: Resident_01
cautious,2.50,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
cautious,2.50,1,0.973,0.176,1.039,우회: Resident_01
cautious,2.75,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
cautious,2.75,1,0.806,0.232,0.605,우회: Resident_01
cautious,3.00,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
cautious,3.00,1,0.680,0.244,0.454,우회: Resident_01
cautious,3.25,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
cautious,3.25,1,0.560,0.244,0.328,우회: Resident_01
cautious,3.50,0,-1.447,0.000,0.000,느긋함: 양보 Resident_02
