time,state,pelvisY,headY,pelvisVelocity,headVelocity,forwardSpeed
1.375000,Walking,0.5048605,1.1346360,0.2333450,0.2363777,1.1500000
1.379167,Walking,0.5058327,1.1356220,0.2333307,0.2366924,1.1500000
1.383333,Walking,0.5068049,1.1366090,0.2333307,0.2369213,1.1500000
1.387500,Walking,0.5077772,1.1375980,0.2333307,0.2372074,1.1500000
1.391667,Walking,0.5095827,1.1394210,0.4333305,0.4375648,1.1500000
1.395833,Walking,0.5113883,1.1412460,0.4333448,0.4379082,1.1500000
1.400000,Walking,0.5131938,1.1430700,0.4333162,0.4379368,1.1500000
1.404167,Walking,0.5149993,1.1448950,0.4333305,0.4378223,1.1500000
1.408333,Walking,0.5168049,1.1467180,0.4333448,0.4375648,1.1500000
1.412500,Walking,0.5186105,1.1485390,0.4333305,0.4371643,1.1500000
1.416667,Walking,0.5204161,1.1503590,0.4333448,0.4367352,1.1500000
1.420833,Walking,0.5218223,1.1517770,0.3375006,0.3403759,1.1500000
1.425000,Walking,0.5228160,1.1527810,0.2384806,0.2409267,1.1500000
